Company Name,ISIN,LEI,Near term - Target Status,Near term - Target Classification,Near term - Target Year,Long term - Target Status,Long term - Target Classification,Long term - Target Year,Net-Zero Committed,Net-Zero Year,Organization Type,BA1.5,BA1.5 Date,Location,Region,Sector,Date,Target,Target Classification,Extension
Fareva Valdepharm,,,Committed,,,,,,No,,Company,No,,France,Europe,"Pharmaceuticals, Biotechnology and Life",01/12/2023,,,
FARFETCH Limited,KY30744W1070,549300QFQ74Z0F96NS78,Targets Set,1.5°C,2030,,,,No,,Company,No,,United Kingdom (UK),Europe,Retailing,01/02/2022,FARFETCH commits to reduce absolute scope 1 and 2 GHG emissions 42% by 2030 from a 2020 base year. FARFETCH commits that 70% of its suppliers by emissions covering purchased goods and services and upstream transportation and distribution will have science-based targets by 2026.,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C.,
Farm Dairy Holding,,,Committed,,,,,,Yes,,Company,No,,Netherlands,Europe,Food and Beverage Processing,,,,
Farm Frites,,,Removed,,,,,,No,,Company,No,,Netherlands,Europe,Food and Beverage Processing,01/12/2019,,,Commitment Compliance Policy transitory grace period. Targets to be submitted by July 31 2023.
Farmaceutici Procemsa spa,,,Targets Set,Well-below 2°C,2030,,,,No,,Small or Medium Enterprise,No,,Italy,Europe,"Pharmaceuticals, Biotechnology and Life",01/07/2022,"This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs). https://sciencebasedtargets.org/faqs-for-smes/ Farmaceutici Procemsa spa commits to reduce scope 1 and scope 2 GHG emissions 23% by 2030 from a 2021 base year, and to measure and reduce its scope 3 emissions",The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to Well-below 2°C.,
Farmax,,,Committed,,,,,,No,,Company,No,,Brazil,Latin America,"Consumer Durables, Household and Personal Products",01/01/2023,,,
Farmer Bros. Co,US3076751086,5493006PMLETBTVJ3262,Targets Set,1.5°C,2025,,,,No,,Company,No,,United States of America (USA),North America,Food and Beverage Processing,01/08/2019,American coffee foodservice company Farmer Bros. Co. commits to reduce absolute scope 1 and 2 GHG emissions 30% by 2025 from a 2018 base year. Farmer Bros. Co. also commits to reduce absolute scope 3 GHG emissions 18% by 2025 from a 2018 base year. *The target boundary includes biogenic emissions and removals from bioenergy feedstocks,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C.,
Farncombe Smith 1990 Ltd,,,Targets Set,1.5°C,2030,,,,No,,Small or Medium Enterprise,No,,United Kingdom (UK),Europe,Construction Materials,01/09/2023,"This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs). https://sciencebasedtargets.org/faqs-for-smes/ Farncombe Smith 1990 Ltd commits to reduce scope 1 and scope 2 GHG emissions 42% by 2030 from a 2021 base year, and to measure and reduce its scope 3 emissions.",The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C.,
Farnek,,,Committed,,,,,,No,,Company,No,,United Arab Emirates (UAE),Asia,Professional Services,01/12/2023,,,
Fasadgruppen Group AB,SE0015195771,549300E24LG2Z7KCFQ23,Committed,,,,,,Yes,,Company,No,,Sweden,Europe,Construction and Engineering,01/07/2023,,,
FashionCube,,,Removed,,,,,,Yes,,Company,No,,France,Europe,"Textiles, Apparel, Footwear and Luxury Goods",01/12/2021,,,
"FAST RETAILING CO., LTD.",JP3802300008,353800ZCXKHDPY0N5218,Targets Set,1.5°C,2030,,,,No,,Company,No,,Japan,Asia,Retailing,01/09/2021,Fast Retailing commits to reduce absolute scope 1 and 2 GHG emissions 90% by FY2030 from a FY2019 base year. Fast Retailing commits to reduce absolute scope 3 GHG emissions from purchased goods and services 20% over the same time frame. Fast Retailing also commits to achieve 100% sourcing of renewable electricity by FY2030.,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C.,
Fastighets AB Balder,SE0000455057,549300GHKJCEZOAEUU82,Committed,,,,,,Yes,,Company,Yes,01/10/2021,Sweden,Europe,Real Estate,01/10/2021,,,
Fastighets AB Regio,,549300W2IYHQ67CHN664,Committed,,,,,,No,,Company,No,01/11/2022,Sweden,Europe,Real Estate,01/12/2022,,,
Fastweb S.p.A.,IT0001423562,549300YFSXCV1SKICL21,Targets Set,1.5°C,2030,,,,No,,Company,No,,Italy,Europe,Telecommunication Services,01/04/2023,"Fastweb S.p.A. commits to reduce absolute scope 1 and 2 GHG emissions
64% by 2030 from a 2018 base year. Fastweb S.p.A. also commits to
continue annually sourcing 100% renewable electricity through 2030.
Fastweb S.p.A. further commits to reduce absolute scope 3 GHG emissions
46% within the same timeframe",The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C.,
Fater S.p.A.,,8156001747635D7D4A58,Targets Set,1.5°C,FY2029/2030,Targets Set,1.5°C,FY2039/2040,Yes,FY2039/2040,Company,Yes,01/03/2022,Italy,Europe,"Consumer Durables, Household and Personal Products",01/06/2023,"Overall Net-Zero Target 
 Fater S.p.A. commits to reach net-zero greenhouse gas emissions across the value chain by 
 FY2039/2040 from a FY2020/2021 base year. 
 
 Near-Term Targets 
 Fater S.p.A. commits to reduce absolute scope 1 and 2 GHG emissions 42% by FY2029/2030 
 from a FY2020/2021 base year. Fater S.p.A. also commits to reduce absolute scope 3 GHG 
 emissions from purchased goods and services, fuel and energy related activities, and 
 upstream transportation and distribution 25% within the same timeframe.* 
 *The target boundary includes biogenic land-related emissions and removals from bioenergy 
 feedstocks. 
 
 Long-Term Targets 
 FATER S.p.A. commits to reduce absolute scope 1 and 2 GHG emissions 90% by 
 FY2039/2040 from a FY2020/2021 base year. FATER S.p.A. also commits to reduce absolute 
 scope 3 GHG emissions covering purchased goods and services, fuel and energy-related 
 activities, upstream transportation, and end-of-life treatment of sold products 90% within the 
 same timeframe.* 
 *The target boundary includes biogenic land-related emissions and removals from bioenergy 
 feedstocks.",The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C.,
Faurecia S.A.,FR0000121147,969500F0VMZLK2IULV85,Targets Set,1.5°C,"2025, 2030",,,,Yes,,Company,Yes,01/07/2020,France,Europe,Automobiles and Components,01/11/2020,Faurecia S.A. commits to reduce absolute scope 1 and 2 GHG emissions 80% by 2025 from a 2019 base year. Faurecia also commits to reduce absolute scope 3 GHG emissions 46% by 2030 from a 2019 base year.,,
FAZE THREE LIMITED,INE963C01033,3358009DEPKVOFKSG329,Committed,,,,,,Yes,,,No,,India,Asia,"Textiles, Apparel, Footwear and Luxury Goods",01/12/2023,,,
Fazer Group,,,Targets Set,1.5°C,2030,,,,No,,Company,No,,Finland,Europe,Food and Beverage Processing,01/01/2023,"Fazer Group commits to reduce absolute scope 1 and scope 2 GHG emissions 42% by 2030 from a 2020 base year. Fazer Group also commits to reduce absolute scope 3 GHG emissions 42% within the same timeframe. Fazer Group commits that 53% of its suppliers by spend covering purchased goods and services and upstream transportation and distribution, will have science-based targets by 2025. * The target boundary includes biogenic emissions and removals from bioenergy feedstocks.",The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C.,
FBA International USA Inc.,,,Targets Set,1.5°C,2030,,,,No,,Small or Medium Enterprise,No,,United States of America (USA),North America,"Consumer Durables, Household and Personal Products",01/09/2022,"This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs). https://sciencebasedtargets.org/faqs-for-smes/ FBA International USA Inc. commits to reduce scope 1 and scope 2 GHG emissions 38% by 2030 from a 2021 base year, and to measure and reduce its scope 3 emissions.",The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C.,
FDM Group (Holdings) plc,GB00BLWDVP51,213800YR62D7GUZLMZ71,Targets Set,1.5°C,2030,,,,No,,Company,No,,United Kingdom (UK),Europe,Professional Services,01/07/2022,FDM Group commits to reduce absolute scope 1 and 2 GHG emissions 50% by 2030 from a 2020 base year. FDM Group also commits to reduce scope 3 GHG emissions 62% per full time employee within the same timeframe.,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C.,
Featherlite Office Systems Private Limited,,,Targets Set,1.5°C,2030,,,,No,,Small or Medium Enterprise,No,,India,Asia,"Consumer Durables, Household and Personal Products",01/12/2023,"This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs). https://sciencebasedtargets.org/faqs-for-smes/ Featherlite Office Systems Private Limited commits to reduce scope 1 and scope 2 GHG emissions 42% by 2030 from a 2022 base year, and to measure and reduce its scope 3 emissions.",The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C.,
Featherlite Products Pvt Ltd,,,Targets Set,1.5°C,2030,,,,No,,Small or Medium Enterprise,No,,India,Asia,"Consumer Durables, Household and Personal Products",01/12/2023,"This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs). https://sciencebasedtargets.org/faqs-for-smes/ Featherlite Products Pvt Ltd commits to reduce scope 1 and scope 2 GHG emissions 42% by 2030 from a 2022 base year, and to measure and reduce its scope 3 emissions.",The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C.,
Federal Realty Investment Trust,,,Targets Set,1.5°C,2030,,,,No,,Small or Medium Enterprise,No,,United States of America (USA),North America,Real Estate,01/09/2022,"This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs). https://sciencebasedtargets.org/faqs-for-smes/ Federal Realty Investment Trust commits to reduce scope 1 and scope 2 GHG emissions 46% by 2030 from a 2019 base year, and to measure and reduce its scope 3 emissions.",The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C.,
Fedrigoni Group,,,Targets Set,Well-below 2°C,2030,,,,No,,Company,No,,Italy,Europe,"Forest and Paper Products - Forestry, Timber, Pulp and Paper, Rubber",01/03/2023,"Fedrigoni commits to reduce absolute scope 1 and 2 GHG emissions 30% by 2030 from a 2019 base year. Fedrigoni also commits to reduce absolute scope 3 GHG emissions from fuel and energy related activities 30% within the same timeframe. Fedrigoni further commits that 90% of its suppliers by spend, covering purchased good and services and capital goods, will have science-based targets by 2027.",The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to Well-below 2°C.,
Feldmuehle GmbH,,,Committed,,,,,,Yes,,Company,Yes,01/09/2022,Germany,Europe,"Forest and Paper Products - Forestry, Timber, Pulp and Paper, Rubber",01/09/2022,,,
FEMSA Health,,,,,2030,,,,No,,Company,No,,Chile,Latin America,Food and Staples Retailing,01/02/2024,"FEMSA Health commits to reduce absolute scope 1 and 2 GHG emissions 45% by 2030 from a 2021 base year. FEMSA Health also commits to reduce absolute scope 3 GHG emissions from purchased goods and services, upstream transportation and distribution, and waste generated in operations 25% within the same timeframe.",The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to .,
Fenergo Ltd.,,,Committed,,,,,,Yes,,Company,No,,Ireland,Europe,Software and Services,01/02/2023,,,
Fenmarc Produce Ltd,,,Targets Set,1.5°C,2030,Targets Set,1.5°C,,Yes,2050,Small or Medium Enterprise,Yes,01/04/2023,United Kingdom (UK),Europe,Food and Beverage Processing,01/04/2023,"This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs). https://sciencebasedtargets.org/faqs-for-smes/ Fenmarc Produce Ltd commits to reduce scope 1 and scope 2 GHG emissions 42% by 2030 from a 2020 base year, and to measure and reduce its scope 3 emissions. Fenmarc Produce Ltd commits to reach net-zero greenhouse gas emissions across the value chain by 2050 from a 2020 base year.",The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C.,
Feralpi Siderurgica SpA,,815600E4923C6FB77337,Committed,,,,,,Yes,,Company,No,,Italy,Europe,"Mining - Iron, Aluminum, Other Metals",01/09/2023,,,
FERCAM DOO BEOGRAD,,,Committed,,,,,,Yes,,Company,No,,Italy,Europe,Ground Transportation - Railroads Transportation,01/11/2023,,,
Ferdinand Walcher & C.F. Rees GmbH,,,Targets Set,1.5°C,2030,,,,No,,Small or Medium Enterprise,No,,Germany,Europe,Containers and Packaging,01/11/2023,"This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs). https://sciencebasedtargets.org/faqs-for-smes/ Ferdinand Walcher & C.F. Rees GmbH commits to reduce scope 1 and scope 2 GHG emissions 42% by 2030 from a 2022 base year, and to measure and reduce its scope 3 emissions.",The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C.,
Feroze1888 Mills Limited,PK0021001018,,Committed,,,,,,No,,Company,No,01/04/2022,Pakistan,Asia,"Textiles, Apparel, Footwear and Luxury Goods",01/04/2022,,,
Ferrari N.V.,NL0011585146,549300RIVY5EX8RCON76,Committed,,,,,,No,,Company,No,01/06/2022,Italy,Europe,Automobiles and Components,01/06/2022,,,
Ferrero International S.A.,,529900BGTKMS0M5TCA40,Targets Set,1.5°C,2030,,,,No,,Company,No,,Luxembourg,Europe,Food and Beverage Processing,01/12/2020,"Ferrero commits to reduce absolute scope 1 and 2 GHG emissions 50% by 2030 from a 2018 base year. Ferrero also commits to reduce scope 1, 2 and 3 GHG emissions 43% per metric tonne of product produced over the same timeframe.*The target boundary includes biogenic emissions and removals from bioenergy feedstocks.",The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C.,
Ferring Group,,,Committed,,,,,,Yes,,Company,No,,Switzerland,Europe,"Pharmaceuticals, Biotechnology and Life",01/09/2023,,,
Ferrocarrils de la Generalitat de Catalunya,,95980020140005003340,Targets Set,1.5°C,2030,,,,Yes,,Company,Yes,01/12/2019,Spain,Europe,Ground Transportation - Railroads Transportation,01/01/2022,"Ferrocarrils de la Generalitat de Catalunya commits to reduce absolute scope 1 and 2 GHG emissions 92% by 2030 from a 2018 base year. Ferrocarrils de la Generalitat de Catalunya also commits to reduce absolute scope 3 GHG emissions 57% by 2030 from a 2018 base year and optional downstream transportation and distribution emissions 57% over the same timeframe. Ferrocarrils de la Generalitat de Catalunya commits that 32% of its suppliers by spend covering purchase goods and services an 14% of its suppliers by spend covering capital goods, will have science-based targets by 2026. Ferrocarrils de la Generalitat de Catalunya commits to increase annual sourcing of renewable electricity from 0% in 2018 to 100% by 2030.",The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C.,
Ferrovial,ES0118900010,95980020140005757903,Targets Set,2°C,2030,,,,No,,Company,No,,Spain,Europe,Construction and Engineering,01/07/2017,"Spanish multinational company involved in design, construction, financing, transport and services infrastructure Ferrovial commits to reduce scope 1 and 2 absolute emissions 32% by 2030 from a 2009 base-year, this is equivalent to reduce emissions by 42.9% per million € of turnover. The company also commits to reduce scope 3 emissions (excluding capital goods and purchased goods & services) 20% by 2030 from a 2012 base-year.",The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 2°C.,
Ferrovie dello Stato Italiane SpA,,549300J4SXC5ALCJM731,Targets Set,1.5°C,2030,Targets Set,1.5°C,2040,Yes,2040,Company,Yes,01/10/2022,Italy,Europe,Ground Transportation - Railroads Transportation,01/02/2024,"Overall net-zero target:
The Group Ferrovie dello Stato Italiane commits to reach net-zero greenhouse gas emissions
across the value chain by 2040.
Near-term targets:
The Group Ferrovie dello Stato Italiane commits to reduce absolute scope 1 and 2 GHG
emissions 50% by 2030 from a 2019 base year*. The Group Ferrovie dello Stato Italiane also
commits to reduce absolute scope 3 GHG emissions from capital goods, fuel and energy
related activities, upstream transportation and distribution, and use of sold products 30%
within the same timeframe.
*The target boundary includes biogenic land-related emissions and removals from bioenergy
feedstocks
Long-term targets:
The Group Ferrovie dello Stato Italiane commits to reduce absolute scope 1 and 2 GHG
emissions 90% by 2040 from a 2019 base year*. The Group Ferrovie dello Stato Italiane also
commits to reduce absolute scope 3 GHG emissions 90% within the same timeframe.
*The target boundary includes biogenic land-related emissions and removals from bioenergy
feedstocks",The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C.,
Fette Compacting GmbH,,529900YOGXXTOQQ0IC51,Committed,,,,,,No,,Company,No,,Germany,Europe,Electrical Equipment and Machinery,01/10/2023,,,
Fetzer Vineyards,N/A,,Committed,,,,,,No,,Company,No,01/03/2022,United States of America (USA),North America,Food and Beverage Processing,01/03/2022,,,
Fever-Tree,GB00BRJ9BJ26,2138007AJRLHRVQZLD07,Targets Set,1.5°C,2030,,,,No,,Small or Medium Enterprise,No,,United Kingdom (UK),Europe,Food and Beverage Processing,01/08/2021,"This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs). https://sciencebasedtargets.org/faqs-for-smes/ Fever-Tree commits to reduce absolute scope 1 and scope 2 GHG emissions 50% by 2030 from a 2018 base year, and to measure and reduce its scope 3 emissions.",The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C.,
FEVISA GLASS,,5493007EWXQS9GXKJM87,Committed,,,,,,Yes,,Company,No,,Mexico,Latin America,Containers and Packaging,01/06/2023,,,
FGV Holdings Berhad,MYL5222OO004,,Removed,,,,,,Yes,,Company,Yes,01/09/2021,Malaysia,Asia,Food Production - Agricultural Production,01/09/2021,,,
Fiba Yenilenebilir Enerji Holding A.S.,XS2479964350,789000MS080UVBKB7S63,Committed,,,,,,Yes,,Company,Yes,01/01/2023,Turkey,Asia,"Electric Utilities and Independent Power Producers and Energy Traders (including fossil, alternative and nuclear energy)",01/01/2023,,,
Fiber@Home Limited,,,Committed,,,,,,Yes,,Company,No,,Bangladesh,Asia,Telecommunication Services,01/10/2023,,,
"FiberHome Telecommunication Technologies Co., Ltd.",,,Committed,,,,,,No,,Company,No,,China,Asia,Electrical Equipment and Machinery,01/11/2023,,,
Fibo Group AS,,,Targets Set,1.5°C,2030,Targets Set,1.5°C,2050,Yes,2050,Small or Medium Enterprise,No,,Norway,Europe,Building Products,01/01/2024,"This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs). https://sciencebasedtargets.org/faqs-for-smes/ Fibo Group AS commits to reduce scope 1 and scope 2 GHG emissions 42% by 2030 from a 2022 base year, and to measure and reduce its scope 3 emissions. Fibo Group AS commits to reach net-zero by 2050. As part of this, Fibo Group AS commits to reduce scope 1+2+3 emissions 90% by 2050 from a 2022 base year.",The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C.,
Fibra Danhos,,,Committed,,,,,,No,,Company,No,,Mexico,Latin America,Real Estate,01/11/2023,,,
Fibra Mty F/2157,MXCFFM010000,,Committed,,,,,,Yes,,Financial Institution,No,,Mexico,Latin America,Real Estate,01/06/2023,,,
Fibra Uno (FUNO),,,Targets Set,1.5°C,2032,,,,No,,Company,No,,Mexico,Latin America,Real Estate,01/12/2023,Fibra Uno (FUNO) commits to reduce absolute scope 1 and 2 GHG emissions 54.6% by 2032 from a 2019 base year. Fibra Uno (FUNO) also commits to reduce absolute scope 3 GHG emissions 32.5% within the same timeframe.,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C.,Commitment Compliance Policy transitory grace period. Targets to be submitted by July 31 2023.
FibraHotel,,4469000001BO1QDXFV70,Committed,,,,,,No,,Company,No,,Mexico,Latin America,Real Estate,01/03/2022,,,
"Ficosa International, S.A.",ES0137620011,95980020140005448764,Targets Set,1.5°C,2030,,,,No,,Company,No,,Spain,Europe,Automobiles and Components,01/03/2023,"Ficosa International, S.A. commits to reduce absolute scope 1 and 2 GHG emissions 46.2% by 2030 from a 2019 base year. Ficosa International S.A. also commits to increase annual sourcing of renewable electricity from 2% in 2019 to 100% by 2030. Ficosa Internacional S.A. further commits to reduce absolute scope 3 GHG emissions 27.5% within the same timeframe.",The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C.,
Fideltronik Poland sp. z o.o.,,,Committed,,,,,,No,,Company,No,,Poland,Europe,Electrical Equipment and Machinery,01/05/2023,,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to .,
Fidocar,,,Targets Set,1.5°C,2030,,,,Yes,,Small or Medium Enterprise,Yes,01/11/2019,Uruguay,Latin America,Automobiles and Components,01/10/2020,"Fidocar commits to reduce absolute scope 1 and scope 2 GHG emissions 50% by 2030 from a 2018 base year, and to measure and reduce its scope 3 emissions.",The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C.,Commitment extended - Automakers pathway
FIEGE Logistik Holding Stiftung & Co. KG,,529900H52ADA6YZO6A88,Committed,,,,,,Yes,,Company,No,,Germany,Europe,Air Freight Transportation and Logistics,01/10/2023,,,
Finastra,,,Committed,,,,,,Yes,,Company,Yes,01/11/2022,United Kingdom (UK),Europe,Software and Services,01/12/2022,,,
Finc3 Commerce GmbH,,,Targets Set,1.5°C,2030,,,,No,,Small or Medium Enterprise,No,,Germany,Europe,Media,01/08/2023,"This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs). https://sciencebasedtargets.org/faqs-for-smes/ Finc3 Commerce GmbH commits to reduce scope 1 and scope 2 GHG emissions 42% by 2030 from a 2022 base year, and to measure and reduce its scope 3 emissions.",The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C.,
Findel,GB00B8B4R053,,Targets Set,1.5°C,2030,,,,No,,Small or Medium Enterprise,No,01/04/2022,United Kingdom (UK),Europe,Retailing,01/04/2022,"This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs). https://sciencebasedtargets.org/faqs-for-smes/ Findel commits to reduce scope 1 and scope 2 GHG emissions 46% by 2030 from a 2019 base year, and to measure and reduce its scope 3 emissions.",The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C.,
Fine Grain Property (Ireland) Limited,,,Targets Set,1.5°C,2030,,,,No,,Small or Medium Enterprise,No,,Ireland,Europe,Real Estate,01/07/2022,"This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs). https://sciencebasedtargets.org/faqs-for-smes/Fine Grain Property (Ireland) Limited commits to reduce absolute scope 1 and scope 2 GHG emissions 51% by 2030 from a 2020 base year, and to measure and reduce its scope 3 emissions",The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C.,
"FineToday Co., Ltd.",,,Targets Set,1.5°C,2030,,,,No,,Company,No,,Japan,Asia,"Consumer Durables, Household and Personal Products",01/01/2024,"FineToday Co., Ltd. commits to reduce absolute scope 1 and 2 GHG emissions 42% by 2030 from a 2021 base year. FineToday Co., Ltd. also commits to reduce absolute scope 3 GHG emissions from purchased goods and services, and end-of-life treatment of sold products 25% within the same timeframe.",The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C.,
Finisterre UK Limited,,,Targets Set,1.5°C,2030,,,,No,,Small or Medium Enterprise,No,,United Kingdom (UK),Europe,Retailing,01/02/2022,"This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs). https://sciencebasedtargets.org/faqs-for-smes/ Finisterre UK Limited commits to reduce scope 1 and scope 2 GHG emissions 42% by 2030 from a 2020 base year, and to measure and reduce its scope 3 emissions.",The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C.,
Finnair Plc,FI0009003230,213800SB6EOB8SSK9W63,Committed,,,,,,No,,Company,No,01/03/2022,Finland,Europe,Air Transportation - Airlines,01/03/2022,,,
Finnebrogue (Lynn's Country Foods Ltd),,,Committed,,,,,,Yes,,Company,No,,United States of America (USA),North America,Food and Beverage Processing,01/01/2024,,,
"Finnegan, Henderson, Farabow, Garrett & Dunner, LLP",,,Committed,,,,,,Yes,,Company,No,,United States of America (USA),North America,Professional Services,01/10/2023,,,
Finsbury Glover Hering,,,Committed,,,,,,Yes,,Company,Yes,01/10/2021,United States of America (USA),North America,Professional Services,01/10/2021,,,
Firesafe Sverige AB,,,Targets Set,1.5°C,2030,,,,No,,Small or Medium Enterprise,No,,Norway,Europe,Specialized Consumer Services,01/06/2023,"This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs). https://sciencebasedtargets.org/faqs-for-smes/ Firesafe Sverige AB commits to reduce scope 1 and scope 2 GHG emissions 42% by 2030 from a 2021 base year, and to measure and reduce its scope 3 emissions.",The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C.,
FIRMENICH SA,,5493004Q6ZQIC4MCNJ08,Targets Set,1.5°C,2030,Targets Set,1.5°C,2039,Yes,2039,Company,Yes,01/07/2019,Switzerland,Europe,"Consumer Durables, Household and Personal Products",01/09/2022,"Firmenich SA commits to reach net-zero greenhouse gas emissions across the value chain by 2039 from a 2017 and 2021 base year respectively.
Near-Term Targets
Firmenich SA commits to reduce absolute scope 1 and 2 GHG emissions 55% by 2030 from a 2017 base year.* Firmenich SA also commits to continue annually sourcing 100% renewable electricity through 2030. Firmenich SA commits that 80% of its suppliers by spend covering purchased goods and services, will have science-based targets by 2026.
Long-Term Targets
Firmenich SA commits to reduce absolute scope 1 and 2 GHG emissions 90% by 2039 from a 2017 base year.* Firmenich SA also commits to reduce absolute scope 3 GHG emissions 90% by 2039 from a 2021 base year.
*The target boundary includes land-related emissions and removals from bioenergy feedstocks.",The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C.,
First Capital REIT,,,Targets Set,1.5°C,2030,Targets Set,1.5°C,2050,Yes,2050,Small or Medium Enterprise,No,,Canada,North America,Real Estate,01/08/2023,"This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs). https://sciencebasedtargets.org/faqs-for-smes/ First Capital REIT commits to reduce scope 1 and scope 2 GHG emissions 46% by 2030 from a 2019 base year, and to measure and reduce its scope 3 emissions. First Capital REIT commits to reach net-zero by 2050. As part of this, First Capital REIT commits to reduce scope 1+2+3 emissions 90% by 2050 from a 2019 base year.",The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C.,
"First Financial Holding Co., Ltd.",TW0002892007,529900BC1U046Q2GUZ64,Committed,,,,,,Yes,,Financial Institution,Yes,01/11/2022,"Taiwan, Province of China",Asia,"Banks, Diverse Financials, Insurance",01/11/2022,,,
First Greater Western Ltd,5113733,,Committed,,,,,,Yes,,Company,Yes,01/07/2022,United Kingdom (UK),Europe,Ground Transportation - Railroads Transportation,01/07/2022,,,
First Mile Limited,,,Targets Set,1.5°C,2030,,,,No,,Small or Medium Enterprise,No,,United Kingdom (UK),Europe,"Trading Companies and Distributors, and Commercial Services and Supplies",01/07/2023,"This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs). https://sciencebasedtargets.org/faqs-for-smes/ First Mile Limited commits to reduce scope 1 and scope 2 GHG emissions 42% by 2030 from a 2022 base year, and to measure and reduce its scope 3 emissions.",The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C.,
